State,Temperature,Pressure,Enthalpy,Entropy,Mass Flow
1,461.107,1200,1000,2.65329,20
2,440.899,750,1000,2.67896,20
3,440.905,750,2765.64,6.68361,2.82789
4,440.899,750,709.235,2.01948,17.1721
5,310.055,6.25,2167.79,7.02389,2.82789
6,309.695,6.25,153.092,0.526035,2.82789
7,359.27,750,361.262,1.14724,17.1721
8,348.69,750,316.868,1.02181,17.1721
9,310.055,6.25,293.711,0.979564,20
10,309.46,1890,179.541,0.828236,19.44
11,394.85,1890,486.92,1.70579,19.44
12,342.945,302.91,456.936,1.72132,19.44
13,305.32,302.91,177.311,0.884296,19.44
14,295.902,904.35,197.008,0.926807,1.924
15,350.524,904.35,593.235,2.15618,1.924
16,328.314,508.85,582.708,2.18096,2.235
17,295.568,348.55,195.849,0.926205,2.235
18,295.568,348.55,195.849,0.926205,1.924
19,295.568,348.55,195.849,0.926205,0.311
20,269.304,113.35,195.849,1.043,0.311
21,281.232,113.35,517.58,2.1493,0.311
